NUMBER,TEXT,A,B,C,D,E
1,"Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the budget year that are classified by administrative unit (that is, by ministry, department, or agency)?","Yes, administrative units accounting for all expenditures are presented.","Yes, administrative units accounting for at least two-thirds of, but not all, expenditures are presented.","Yes, administrative units accounting for less than two-thirds of expenditures are presented.","No, expenditures are not presented by administrative unit.",Not applicable/other.
2,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the budget year by functional classification?,"Yes, expenditures are presented by functional classification.","No, expenditures are not presented by functional classification.",Not applicable/other.,,
3,"If the Executive’s Budget Proposal or any supporting budget documentation presents expenditures for the budget year by functional classification, is the functional classification compatible with international standards?","Yes, the functional classification is compatible with international standards.","No, the functional classification is not compatible with international standards, or expenditures are not presented by functional classification.",Not applicable/other.,,
4,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the budget year by economic classification?,"Yes, expenditures are presented by economic classification.","No, expenditures are not presented by economic classification.",Not applicable/other.,,
5,"If the Executive’s Budget Proposal or any supporting budget documentation presents expenditures for the budget year by economic classification, is the economic classification compatible with international standards?","Yes, the economic classification is compatible with international standards.","No, the economic classification is not compatible with international standards, or expenditures are not presented by economic classification.",Not applicable/other.,,
6,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for individual programs for the budget year?,"Yes, programs accounting for all expenditures are presented.","Yes, programs accounting for at least two-thirds of, but not all, expenditures are presented.","Yes, programs accounting for less than two-thirds of expenditures are presented.","No, expenditures are not presented by program.",Not applicable/other.
7,"Does the Executive’s Budget Proposal or any supporting budget documentation present expenditure estimates for a multi-year period (at least two-years beyond the budget year) by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, multi-year expenditure estimates are presented by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, multi-year expenditure estimates are presented by two of the three expenditure classifications.","Yes, multi-year expenditure estimates are presented by only one of the three expenditure classifications.","No, multi-year expenditure estimates are not presented by any expenditure classification.",Not applicable/other.
8,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditure estimates for a multi-year period (at least two-years beyond the budget year) by program?,"Yes, multi-year estimates for programs accounting for all expenditures are presented.","Yes, multi-year estimates for programs accounting for at least two-thirds of, but not all, expenditures are presented.","Yes, multi-year estimates for programs accounting for less than two-thirds of expenditures are presented.","No, multi-year estimates for programs are not presented.",Not applicable/other.
9,Does the Executive’s Budget Proposal or any supporting budget documentation present the individual sources of tax revenue (such as income tax or VAT) for the budget year?,"Yes, individual sources of tax revenue accounting for all tax revenue are presented.","Yes, individual sources of tax revenue accounting for at least two-thirds of, but not all, tax revenues are presented.","Yes, individual sources of tax revenue accounting for less than two-thirds of all tax revenues are presented.","No, individual sources of tax revenue are not presented.",Not applicable/other.
10,"Does the Executive’s Budget Proposal or any supporting budget documentation present the individual sources of non-tax revenue (such as grants, property income, and sales of government-produced goods and services) for the budget year?","Yes, individual sources of non-tax revenue accounting for all non-tax revenue are presented.","Yes, individual sources of non-tax revenue accounting for at least two-thirds of, but not all, non-tax revenues are presented.","Yes, individual sources of non-tax revenue accounting for less than two-thirds of all non-tax revenues are presented.","No, individual sources of non-tax revenue are not presented.",Not applicable/other.
11,Does the Executive’s Budget Proposal or any supporting budget documentation present revenue estimates by category (such as tax and non-tax) for a multi-year period (at least two-years beyond the budget year)?,"Yes, multi-year estimates of revenue are presented by category.","No, multi-year estimates of revenue are not presented by category.",Not applicable/other.,,
12,Does the Executive’s Budget Proposal or any supporting budget documentation present estimates for individual sources of revenue presented for a multi-year period (at least two-years beyond the budget year)?,"Yes, multi-year estimates for individual sources of revenue accounting for all revenue are presented.","Yes, multi-year estimates for individual sources of revenue accounting for at least two-thirds of, but not all, revenue are presented.","Yes, multi-year estimates for individual sources of revenue accounting for less than two-thirds of revenue are presented.","No, multi-year estimates for individual sources of revenue are not presented.",Not applicable/other.
13,Does the Executive’s Budget Proposal or any supporting budget documentation present three estimates related to government borrowing and debt: the amount of net new borrowing required during the budget year; the total debt outstanding at the end of the budget year; and interest payments on the debt for the budget year?,"Yes, all three estimates related to government borrowing and debt are presented.","Yes, two of the three estimates related to government borrowing and debt are presented.","Yes, one of the three estimates related to government borrowing and debt are presented.","No, none of the three estimates related to government borrowing and debt are not presented.",Not applicable/other.
14,"Does the Executive’s Budget Proposal or any supporting budget documentation present information related to the composition of the total debt outstanding at the end of the budget year?

(The core information must include interest rates on the debt instruments; maturity profile of the debt; and whether it is domestic or external debt.)","Yes, information beyond the core elements is presented for the composition of the total debt outstanding.","Yes, the core information is presented for the composition of the total debt outstanding.","Yes, information is presented, but it excludes some core elements.","No, information related to composition of total debt outstanding is not presented.",Not applicable/other.
