2018 COUNTRY POLICY AND INSTITUTIONAL ASSESSMENTS,,,,,,,,,,,,,,,,,,,,,,,,
(FINAL RATINGS),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A. Economic Management,,,,B. Structural Policies,,,,C. Policies for Social Inclusion/Equity,,,,,,D. Public Sector Management and Institutions,,,,,,
IDA / IBRD,Region,Country Code,Country,1,2,3,,4,5,6,,7,8,9,10,11,,12,13,14,15,16,,
,,,,Monetary & Exch. Rate Pol.,Fiscal Policy,Debt Policy & Mgt.,Ave.  A,Trade ,Financial Sector,Business Regulatory Environ.,Ave.   B,Gender Equality,Equity of Public Resource Use,Building Human Resour.,Social Protection & Labor,Pol. & Instit. for Environ. Sustain.,Ave.   C,Property Rights & Rule-based Govern.,Quality of Budget. & Finan. Mgt.,Effic.of Revenue Mobil.,Quality of Public Admin.,"Transpar., Account. & Corrup.in Pub. Sec.",Ave.   D,Overall Rating
IDA,Africa,BEN,Benin,4.0,3.5,4.0,3.8,4.0,2.5,3.5,3.3,3.5,3.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.0,3.5,3.3,3.5
IDA,Africa,BFA,Burkina Faso,4.0,3.0,4.0,3.7,4.0,3.0,3.5,3.5,3.5,4.0,4.0,3.0,4.0,3.7,3.0,3.5,3.5,3.5,3.5,3.4,3.6
IDA,Africa,BDI,Burundi,2.5,3.0,2.5,2.7,4.0,2.5,3.0,3.2,4.0,3.5,4.0,3.0,3.0,3.5,2.0,2.5,3.0,2.5,1.5,2.3,2.9
IDA,Africa,CMR,Cameroon,4.0,3.5,3.5,3.7,4.0,3.0,3.0,3.3,3.0,3.0,3.5,3.0,3.5,3.2,2.5,3.5,3.5,3.0,2.5,3.0,3.3
IDA,Africa,CPV,Cape Verde,4.0,3.5,2.5,3.3,4.5,3.5,3.5,3.8,4.0,3.5,4.5,4.0,3.5,3.9,4.0,3.5,4.0,4.0,4.5,4.0,3.8
IDA,Africa,CAF,Central African Republic,3.5,3.0,2.5,3.0,3.0,2.5,2.0,2.5,2.5,2.0,3.0,2.0,2.5,2.4,2.0,2.5,2.5,2.5,2.5,2.4,2.6
IDA,Africa,TCD,Chad,3.5,3.0,2.0,2.8,3.0,2.5,2.5,2.7,2.5,3.0,3.0,3.0,2.5,2.8,2.5,3.0,2.5,2.5,2.5,2.6,2.7
IDA,Africa,COM,Comoros,3.0,2.5,3.0,2.8,3.5,2.5,3.0,3.0,3.0,2.5,3.5,2.0,3.0,2.8,3.0,2.5,2.5,2.5,2.5,2.6,2.8
IDA,Africa,ZAR,"Congo, Dem. Rep.",3.0,3.0,3.5,3.2,3.5,2.5,3.0,3.0,3.0,3.5,3.5,2.5,3.0,3.1,2.0,2.5,3.0,3.0,2.0,2.5,2.9
