1,New Zealand,81.6
2,Finland,81.0
3,Singapore,80.7
4,Netherlands,77.9
5,Switzerland,77.1
6,Hong Kong SAR,76.9
7,United Kingdom,76.8
8,Norway,76.7
9,Sweden,76.0
10,Denmark,75.9
11,Canada,75.5
12,Luxembourg,75.2
13,United States,74.6
14,Iceland,74.3
15,Australia,73.6
16,Germany,73.5
17,Ireland,73.1
18,Austria,72.7
19,United Arab Emirates,71.8
20,Japan,71.1
21,Belgium,69.8
22,Estonia,69.5
23,France,69.5
24,Malaysia,68.7
25,"Taiwan, China",68.5
26,Israel,66.3
27,"Korea, Rep.",65.4
28,Spain,64.5
29,Rwanda,64.4
30,Portugal,63.9
31,Qatar,63.8
32,Chile,63.6
33,Malta,63.5
34,Uruguay,63.2
35,Slovenia,63.1
36,Oman,63.1
37,Cyprus,63.0
38,Mauritius,62.8
39,Saudi Arabia,62.2
40,Georgia,61.0
41,Lithuania,60.9
42,Bahrain,60.9
43,Czech Republic,60.5
44,Costa Rica,59.1
45,Brunei Darussalam,58.3
46,Romania,58.1
47,India,57.9
48,Indonesia,57.9
49,Latvia,57.9
50,Jordan,57.7
51,Namibia,57.2
52,Seychelles,57.1
53,Poland,57.1
54,Morocco,56.6
55,Slovak Republic,56.4
56,Italy,56.4
57,Kuwait,56.0
58,Azerbaijan,55.8
59,Ghana,55.7
60,Thailand,55.1
61,Kazakhstan,54.9
62,Botswana,54.7
63,Montenegro,54.7
64,Kenya,54.6
65,China,54.6
66,Hungary,54.2
67,Armenia,54.0
68,Albania,53.9
69,South Africa,53.8
70,Bulgaria,53.6
71,Turkey,52.9
72,Russian Federation,52.7
73,Senegal,52.5
74,Croatia,52.0
75,Tunisia,52.0
76,Serbia,51.6
77,Argentina,51.5
78,Sri Lanka,51.5
79,Cape Verde,51.5
80,Mongolia,51.1
81,Tajikistan,50.9
82,Jamaica,50.9
83,Panama,50.9
84,Moldova,50.8
85,North Macedonia,50.6
86,Burkina Faso,50.6
87,Greece,50.5
88,Kyrgyz Republic,50.4
89,Colombia,50.3
90,Peru,50.2
91,Tanzania,50.0
92,Trinidad and Tobago,49.7
93,Brazil,49.7
94,Viet Nam,49.5
95,"Gambia, The",49.3
96,Zambia,48.8
97,Eswatini,48.8
98,Nepal,48.5
99,Dominican Republic,48.5
100,Ecuador,48.4
101,Philippines,48.3
102,Egypt,48.1
103,Malawi,48.0
104,Uganda,47.9
105,Mexico,47.7
106,Sierra Leone,46.9
107,Lesotho,46.5
108,Bangladesh,46.5
109,Pakistan,46.3
110,Ukraine,46.3
111,Bosnia and Herzegovina,45.6
112,Paraguay,45.3
113,Lebanon,45.2
114,Benin,45.1
115,Liberia,45.1
116,Ethiopia,44.9
117,Honduras,44.7
118,Côte d'Ivoire,44.5
119,Lao PDR,44.5
120,Algeria,44.4
121,"Iran, Islamic Rep.",44.3
122,Nicaragua,43.9
123,Guatemala,43.5
124,Zimbabwe,43.0
125,Cameroon,43.0
126,Cambodia,41.9
127,Nigeria,41.7
128,Guinea,41.6
129,Bolivia,41.2
130,Mozambique,41.2
131,El Salvador,40.7
132,Mali,40.3
133,Mauritania,38.4
134,Angola,37.2
135,Burundi,36.3
136,"Congo, Democratic Rep.",36.0
137,Chad,34.6
138,Haiti,32.9
139,Yemen,29.5
140,Venezuela,27.3
