Country,Value,,,,,
Afghanistan,Yes,,,,,
Albania,Yes,,,,,
Algeria,Yes,,,,,
Andorra,Yes,,,,,
Angola,Yes,,,,,
Antigua and Barbuda,No,,,,,
Argentina,N/A,,,,,
Armenia,Yes,,,,,
Australia,Yes,,,,,
Austria,No,,,,,
Azerbaijan,Yes,,,,,
Bahamas,No,,,,,
Bahrain,No,,,,,
Bangladesh,Yes,,,,,
Barbados,Yes,,,,,
Belarus,Yes,,,,,
Belgium,Yes,,,,,
Belize,No,,,,,
Benin,Yes,,,,,
Bhutan,Yes,,,,,
Bolivia,No,,,,,
Bosnia and Herzegovina,Yes,,,,,
Botswana,Yes,,,,,
Brazil,Yes,,,,,
Bulgaria,Yes,,,,,
Burkina Faso,Yes,,,,,
Burundi,No,,,,,
Cambodia,Yes,,,,,
Cameroon,No data,,,,,
Canada,Yes,,,,,
Cape Verde,Yes,,,,,
Central African Republic,Yes,,,,,
Chad,No,,,,,
Chile,Yes,,,,,
Colombia,Yes,,,,,
Comoros,No,,,,,
"Congo, Democratic Republic of",No,,,,,
Costa Rica,Yes,,,,,
Cote d'Ivoire,No,,,,,
Croatia,Yes,,,,,
Cyprus,Yes,,,,,
Czech Republic,Yes,,,,,
Denmark,Yes,,,,,
Djibouti,No,,,,,
Dominica,No,,,,,
Dominican Republic,No,,,,,
Ecuador,Yes,,,,,
Egypt,Yes,,,,,
El Salvador,No,,,,,
Equatorial Guinea,No data,,,,,
Estonia,Yes,,,,,
Ethiopia,No,,,,,
Fiji,Yes,,,,,
Finland,Yes,,,,,
France,Yes,,,,,
Gabon,No,,,,,
Gambia,No,,,,,
Georgia,Yes,,,,,
Germany,No,,,,,
Ghana,No,,,,,
Greece,Yes,,,,,
Grenada,No,,,,,
Guatemala,Yes,,,,,
Guinea,Yes,,,,,
Guinea-Bissau,Yes,,,,,
Guyana,Yes,,,,,
Haiti,Yes,,,,,
Honduras,Yes,,,,,
Hungary,Yes,,,,,
Iceland,Yes,,,,,
India,Yes,,,,,
Indonesia,Yes,,,,,
"Iran, Islamic Republic of",No data,,,,,
Iraq,No,,,,,
Ireland,Yes,,,,,
Israel,Yes,,,,,
Italy,Yes,,,,,
Jamaica,Yes,,,,,
Japan,Yes,,,,,
Jordan,No,,,,,
Kazakhstan,Yes,,,,,
Kenya,Yes,,,,,
Kiribati,No,,,,,
"Korea, Republic of",Yes,,,,,
Kyrgyzstan,Yes,,,,,
Latvia,Yes,,,,,
Lebanon,Yes,,,,,
Lesotho,Yes,,,,,
Liberia,Yes,,,,,
Libya,Yes,,,,,
Liechtenstein,No,,,,,
Lithuania,Yes,,,,,
Luxembourg,Yes,,,,,
Madagascar,Yes,,,,,
Malawi,No,,,,,
Malaysia,Yes,,,,,
Maldives,Yes,,,,,
Mali,No,,,,,
Malta,Yes,,,,,
Marshall Islands,No,,,,,
Mauritania,Yes,,,,,
Mauritius,Yes,,,,,
Mexico,Yes,,,,,
"Micronesia, Federated States of",No,,,,,
"Moldova, Republic of",Yes,,,,,
Monaco,Yes,,,,,
Mongolia,Yes,,,,,
Montenegro,Yes,,,,,
Morocco,Yes,,,,,
Mozambique,Yes,,,,,
Myanmar,Yes,,,,,
Namibia,No,,,,,
Nauru,No,,,,,
Nepal,Yes,,,,,
Netherlands,No,,,,,
New Zealand,Yes,,,,,
Nicaragua,Yes,,,,,
Niger,No,,,,,
Nigeria,Yes,,,,,
"North Macedonia, Republic of",Yes,,,,,
Norway,No,,,,,
Pakistan,Yes,,,,,
Palau,Yes,,,,,
Panama,Yes,,,,,
Papua New Guinea,Yes,,,,,
Paraguay,No,,,,,
Peru,Yes,,,,,
Philippines,Yes,,,,,
Poland,Yes,,,,,
Portugal,Yes,,,,,
Republic of The Congo (Brazzaville),No data,,,,,
Romania,Yes,,,,,
Russian Federation,Yes,,,,,
Rwanda,No,,,,,
Saint Kitts and Nevis,No,,,,,
Saint Lucia,No,,,,,
Saint Vincent and The Grenadines,No,,,,,
Samoa,No data,,,,,
San Marino,No,,,,,
Sao Tome and Principe,No data,,,,,
Senegal,No,,,,,
Serbia,Yes,,,,,
Seychelles,Yes,,,,,
Sierra Leone,Yes,,,,,
Singapore,Yes,,,,,
Slovakia,Yes,,,,,
Slovenia,Yes,,,,,
Solomon Islands,Yes,,,,,
South Africa,No,,,,,
Spain,No,,,,,
Sri Lanka,No data,,,,,
Sudan,Yes,,,,,
Suriname,Yes,,,,,
Swaziland,No data,,,,,
Sweden,Yes,,,,,
Switzerland,No,,,,,
Syrian Arab Republic,Yes,,,,,
Taiwan,Yes,,,,,
Tajikistan,Yes,,,,,
"Tanzania, United Republic of",Yes,,,,,
Thailand,Yes,,,,,
Timor-Leste,Yes,,,,,
Togo,Yes,,,,,
Tonga,Yes,,,,,
Trinidad and Tobago,Yes,,,,,
Tunisia,Yes,,,,,
Turkey,No,,,,,
Turkmenistan,No,,,,,
Tuvalu,No data,,,,,
Uganda,"Yes. For Presidential, but not for Parliamentary candidates.",,,,,
Ukraine,Yes,,,,,
United Kingdom,Yes,,,,,
United States,Yes,,,,,
Uruguay,Yes,,,,,
Uzbekistan,No,,,,,
Vanuatu,No,,,,,
Venezuela,Yes,,,,,
Yemen,No,,,,,
Zambia,No,,,,,
Zimbabwe,No,,,,,
