Country,Value,,,,,
Afghanistan,No,,,,,
Albania,Yes,,,,,
Algeria,No data,,,,,
Andorra,Yes,,,,,
Angola,Yes,,,,,
Antigua and Barbuda,Yes,,,,,
Argentina,Yes,,,,,
Armenia,Yes,,,,,
Australia,No,,,,,
Austria,No,,,,,
Azerbaijan,Yes,,,,,
Bahamas,No,,,,,
Bahrain,No,,,,,
Bangladesh,Yes,,,,,
Barbados,No,,,,,
Belarus,No,,,,,
Belgium,Yes,,,,,
Belize,No,,,,,
Benin,Yes,,,,,
Bhutan,Yes,,,,,
Bolivia,Yes,,,,,
Bosnia and Herzegovina,Yes,,,,,
Botswana,Yes,,,,,
Brazil,Yes,,,,,
Bulgaria,Yes,,,,,
Burkina Faso,Yes,,,,,
Burundi,No,,,,,
Cambodia,Yes,,,,,
Cameroon,No,,,,,
Canada,Yes,,,,,
Cape Verde,Yes,,,,,
Central African Republic,No,,,,,
Chad,No,,,,,
Chile,Yes,,,,,
Colombia,Yes,,,,,
Comoros,No data,,,,,
"Congo, Democratic Republic of",No,,,,,
Costa Rica,Yes,,,,,
Cote d'Ivoire,No,,,,,
Croatia,Yes,,,,,
Cyprus,Yes,,,,,
Czech Republic,Yes,,,,,
Denmark,No,,,,,
Djibouti,No,,,,,
Dominica,No,,,,,
Dominican Republic,Yes,,,,,
Ecuador,Yes,,,,,
Egypt,Yes,,,,,
El Salvador,No,,,,,
Equatorial Guinea,No data,,,,,
Estonia,Yes,,,,,
Ethiopia,Yes,,,,,
Fiji,No,,,,,
Finland,Yes,,,,,
France,No,,,,,
Gabon,Yes,,,,,
Gambia,No,,,,,
Georgia,Yes,,,,,
Germany,No,,,,,
Ghana,Yes,,,,,
Greece,Yes,,,,,
Grenada,No,,,,,
Guatemala,Yes,,,,,
Guinea,Yes,,,,,
Guinea-Bissau,Yes,,,,,
Guyana,Yes,,,,,
Haiti,Yes,,,,,
Honduras,Yes,,,,,
Hungary,Yes,,,,,
Iceland,No,,,,,
India,Yes,,,,,
Indonesia,Yes,,,,,
"Iran, Islamic Republic of",No,,,,,
Iraq,Yes,,,,,
Ireland,Yes,,,,,
Israel,Yes,,,,,
Italy,Yes,,,,,
Jamaica,Yes,,,,,
Japan,Yes,,,,,
Jordan,No,,,,,
Kazakhstan,Yes,,,,,
Kenya,Yes,,,,,
Kiribati,No,,,,,
"Korea, Republic of",Yes,,,,,
Kyrgyzstan,Yes,,,,,
Latvia,Yes,,,,,
Lebanon,No,,,,,
Lesotho,Yes,,,,,
Liberia,Yes,,,,,
Libya,Yes,,,,,
Liechtenstein,No,,,,,
Lithuania,Yes,,,,,
Luxembourg,Yes,,,,,
Madagascar,No,,,,,
Malawi,No,,,,,
Malaysia,No,,,,,
Maldives,No,,,,,
Mali,No,,,,,
Malta,No,,,,,
Marshall Islands,No,,,,,
Mauritania,No data,,,,,
Mauritius,No,,,,,
Mexico,Yes,,,,,
"Micronesia, Federated States of",No,,,,,
"Moldova, Republic of",Yes,,,,,
Monaco,No,,,,,
Mongolia,Yes,,,,,
Montenegro,Yes,,,,,
Morocco,Yes,,,,,
Mozambique,Yes,,,,,
Myanmar,No,,,,,
Namibia,Yes,,,,,
Nauru,No,,,,,
Nepal,Yes,,,,,
Netherlands,No,,,,,
New Zealand,Yes,,,,,
Nicaragua,Yes,,,,,
Niger,Yes,,,,,
Nigeria,Yes,,,,,
"North Macedonia, Republic of",Yes,,,,,
Norway,Yes,,,,,
Pakistan,Yes,,,,,
Palau,No,,,,,
Panama,No,,,,,
Papua New Guinea,Yes,,,,,
Paraguay,Yes,,,,,
Peru,Yes,,,,,
Philippines,Yes,,,,,
Poland,Yes,,,,,
Portugal,Yes,,,,,
Republic of The Congo (Brazzaville),No,,,,,
Romania,Yes,,,,,
Russian Federation,Yes,,,,,
Rwanda,No,,,,,
Saint Kitts and Nevis,No,,,,,
Saint Lucia,No,,,,,
Saint Vincent and The Grenadines,No,,,,,
Samoa,No,,,,,
San Marino,No,,,,,
Sao Tome and Principe,Yes,,,,,
Senegal,No,,,,,
Serbia,Yes,,,,,
Seychelles,Yes,,,,,
Sierra Leone,Yes,,,,,
Singapore,No,,,,,
Slovakia,Yes,,,,,
Slovenia,Yes,,,,,
Solomon Islands,Yes,,,,,
South Africa,No,,,,,
Spain,Yes,,,,,
Sri Lanka,No,,,,,
Sudan,Yes,,,,,
Suriname,Yes,,,,,
Swaziland,No data,,,,,
Sweden,No,,,,,
Switzerland,No,,,,,
Syrian Arab Republic,Yes,,,,,
Taiwan,Yes,,,,,
Tajikistan,Yes,,,,,
"Tanzania, United Republic of",Yes,,,,,
Thailand,Yes,,,,,
Timor-Leste,No,,,,,
Togo,Yes,,,,,
Tonga,No,,,,,
Trinidad and Tobago,No,,,,,
Tunisia,Yes,,,,,
Turkey,No,,,,,
Turkmenistan,No,,,,,
Tuvalu,No,,,,,
Uganda,"Yes, in relation to parliamentary elections.",,,,,
Ukraine,Yes,,,,,
United Kingdom,Yes,,,,,
United States,Yes,,,,,
Uruguay,Yes,,,,,
Uzbekistan,No,,,,,
Vanuatu,No,,,,,
Venezuela,Yes,,,,,
Yemen,No,,,,,
Zambia,No,,,,,
Zimbabwe,No,,,,,
