Country,Value,,,,,
Afghanistan,Yes,,,,,
Albania,Yes,,,,,
Algeria,Yes,,,,,
Andorra,Yes,,,,,
Angola,Yes,,,,,
Antigua and Barbuda,No,,,,,
Argentina,Yes,,,,,
Armenia,Yes,,,,,
Australia,Yes,,,,,
Austria,Yes,,,,,
Azerbaijan,Yes,,,,,
Bahamas,No,,,,,
Bahrain,Yes,,,,,
Bangladesh,Yes,,,,,
Barbados,No,,,,,
Belarus,No,,,,,
Belgium,Yes,,,,,
Belize,No data,,,,,
Benin,Yes,,,,,
Bhutan,Yes,,,,,
Bolivia,Yes,,,,,
Bosnia and Herzegovina,Yes,,,,,
Botswana,No,,,,,
Brazil,Yes,,,,,
Bulgaria,Yes,,,,,
Burkina Faso,Yes,,,,,
Burundi,Yes,,,,,
Cambodia,Yes,,,,,
Cameroon,Yes,,,,,
Canada,Yes,,,,,
Cape Verde,Yes,,,,,
Central African Republic,No,,,,,
Chad,No,,,,,
Chile,Yes,,,,,
Colombia,Yes,,,,,
Comoros,No data,,,,,
"Congo, Democratic Republic of",Yes,,,,,
Costa Rica,Yes,,,,,
Cote d'Ivoire,Yes,,,,,
Croatia,Yes,,,,,
Cyprus,Yes,,,,,
Czech Republic,Yes,,,,,
Denmark,Yes,,,,,
Djibouti,Yes,,,,,
Dominica,No,,,,,
Dominican Republic,Yes,,,,,
Ecuador,Yes,,,,,
Egypt,Yes,,,,,
El Salvador,No,,,,,
Equatorial Guinea,No data,,,,,
Estonia,Yes,,,,,
Ethiopia,Yes,,,,,
Fiji,Yes,,,,,
Finland,Yes,,,,,
France,Yes,,,,,
Gabon,No data,,,,,
Gambia,No,,,,,
Georgia,Yes,,,,,
Germany,Yes,,,,,
Ghana,Yes,,,,,
Greece,Yes,,,,,
Grenada,No,,,,,
Guatemala,Yes,,,,,
Guinea,Yes,,,,,
Guinea-Bissau,Yes,,,,,
Guyana,No data,,,,,
Haiti,Yes,,,,,
Honduras,Yes,,,,,
Hungary,Yes,,,,,
Iceland,Yes,,,,,
India,Yes,,,,,
Indonesia,Yes,,,,,
"Iran, Islamic Republic of",Yes,,,,,
Iraq,Yes,,,,,
Ireland,Yes,,,,,
Israel,Yes,,,,,
Italy,Yes,,,,,
Jamaica,Yes,,,,,
Japan,Yes,,,,,
Jordan,Yes,,,,,
Kazakhstan,Yes,,,,,
Kenya,Yes,,,,,
Kiribati,No,,,,,
"Korea, Republic of",Yes,,,,,
Kyrgyzstan,Yes,,,,,
Latvia,Yes,,,,,
Lebanon,No,,,,,
Lesotho,Yes,,,,,
Liberia,Yes,,,,,
Libya,No,,,,,
Liechtenstein,Yes,,,,,
Lithuania,Yes,,,,,
Luxembourg,Yes,,,,,
Madagascar,Yes,,,,,
Malawi,No,,,,,
Malaysia,Yes,,,,,
Maldives,Yes,,,,,
Mali,Yes,,,,,
Malta,Yes,,,,,
Marshall Islands,No,,,,,
Mauritania,Yes,,,,,
Mauritius,No,,,,,
Mexico,Yes,,,,,
"Micronesia, Federated States of",No,,,,,
"Moldova, Republic of",Yes,,,,,
Monaco,No,,,,,
Mongolia,Yes,,,,,
Montenegro,Yes,,,,,
Morocco,Yes,,,,,
Mozambique,Yes,,,,,
Myanmar,Yes,,,,,
Namibia,Yes,,,,,
Nauru,No,,,,,
Nepal,Yes,,,,,
Netherlands,Yes,,,,,
New Zealand,Yes,,,,,
Nicaragua,Yes,,,,,
Niger,Yes,,,,,
Nigeria,Yes,,,,,
"North Macedonia, Republic of",Yes,,,,,
Norway,Yes,,,,,
Pakistan,Yes,,,,,
Palau,No,,,,,
Panama,Yes,,,,,
Papua New Guinea,Yes,,,,,
Paraguay,Yes,,,,,
Peru,Yes,,,,,
Philippines,No,,,,,
Poland,Yes,,,,,
Portugal,Yes,,,,,
Republic of The Congo (Brazzaville),Yes,,,,,
Romania,Yes,,,,,
Russian Federation,Yes,,,,,
Rwanda,Yes,,,,,
Saint Kitts and Nevis,No,,,,,
Saint Lucia,No,,,,,
Saint Vincent and The Grenadines,No,,,,,
Samoa,No,,,,,
San Marino,Yes,,,,,
Sao Tome and Principe,Yes,,,,,
Senegal,Yes,,,,,
Serbia,Yes,,,,,
Seychelles,Yes,,,,,
Sierra Leone,Yes,,,,,
Singapore,Yes,,,,,
Slovakia,Yes,,,,,
Slovenia,Yes,,,,,
Solomon Islands,Yes,,,,,
South Africa,Yes,,,,,
Spain,Yes,,,,,
Sri Lanka,Yes,,,,,
Sudan,Yes,,,,,
Suriname,Yes,,,,,
Swaziland,No data,,,,,
Sweden,Yes,,,,,
Switzerland,No,,,,,
Syrian Arab Republic,No data,,,,,
Taiwan,Yes,,,,,
Tajikistan,Yes,,,,,
"Tanzania, United Republic of",Yes,,,,,
Thailand,Yes,,,,,
Timor-Leste,Yes,,,,,
Togo,Yes,,,,,
Tonga,No,,,,,
Trinidad and Tobago,No,,,,,
Tunisia,Yes,,,,,
Turkey,Yes,,,,,
Turkmenistan,No,,,,,
Tuvalu,No,,,,,
Uganda,Yes,,,,,
Ukraine,Yes,,,,,
United Kingdom,Yes,,,,,
United States,Yes,,,,,
Uruguay,Yes,,,,,
Uzbekistan,Yes,,,,,
Vanuatu,No,,,,,
Venezuela,Yes,,,,,
Yemen,Yes,,,,,
Zambia,No,,,,,
Zimbabwe,No,,,,,
