Country,Value,,,
Afghanistan,Yes,,,
Albania,Yes,,,
Algeria,Yes,,,
Andorra,Yes,,,
Angola,Yes,,,
Antigua and Barbuda,No,,,
Argentina,Yes,,,
Armenia,Yes,,,
Australia,Yes,,,
Austria,Yes,,,
Azerbaijan,Yes,,,
Bahamas,No,,,
Bahrain,No,,,
Bangladesh,Yes,,,
Barbados,Sometimes,,,
Belarus,Yes,,,
Belgium,Yes,,,
Belize,No,,,
Benin,Sometimes,,,
Bhutan,No,,,
Bolivia,No,,,
Bosnia and Herzegovina,Yes,,,
Botswana,No,,,
Brazil,Yes,,,
Bulgaria,Yes,,,
Burkina Faso,No data,,,
Burundi,No,,,
Cambodia,No,,,
Cameroon,No,,,
Canada,Yes,,,
Cape Verde,Yes,,,
Central African Republic,Yes,,,
Chad,No data,,,
Chile,Yes,,,
Colombia,Yes,,,
Comoros,No data,,,
"Congo, Democratic Republic of",No,,,
Costa Rica,Yes,,,
Cote d'Ivoire,No,,,
Croatia,Yes,,,
Cyprus,Yes,,,
Czech Republic,Yes,,,
Denmark,Yes,,,
Djibouti,No,,,
Dominica,Not applicable,,,
Dominican Republic,No,,,
Ecuador,Yes,,,
Egypt,No,,,
El Salvador,Not applicable,,,
Equatorial Guinea,No data,,,
Estonia,Yes,,,
Ethiopia,"Yes, as regards the support granted by the government to the political parties for the purpose of elections. The latter has to be reported periodically to the Ethiopian National Electoral Board in the certified audit report submitted by the political parties.",,,
Fiji,Yes,,,
Finland,Yes,,,
France,Yes,,,
Gabon,No data,,,
Gambia,Not applicable,,,
Georgia,Yes,,,
Germany,Yes,,,
Ghana,Yes,,,
Greece,Yes,,,
Grenada,Not applicable,,,
Guatemala,Yes,,,
Guinea,Yes,,,
Guinea-Bissau,Yes,,,
Guyana,Yes,,,
Haiti,No,,,
Honduras,Yes,,,
Hungary,Yes,,,
Iceland,Yes,,,
India,Yes,,,
Indonesia,Yes,,,
"Iran, Islamic Republic of",No data,,,
Iraq,No,,,
Ireland,Yes,,,
Israel,Sometimes,,,
Italy,Yes,,,
Jamaica,Yes,,,
Japan,Yes,,,
Jordan,No,,,
Kazakhstan,Yes,,,
Kenya,Yes,,,
Kiribati,Not applicable,,,
"Korea, Republic of",Yes,,,
Kyrgyzstan,Yes,,,
Latvia,Yes,,,
Lebanon,No,,,
Lesotho,No,,,
Liberia,Yes,,,
Libya,Yes,,,
Liechtenstein,Yes,,,
Lithuania,Yes,,,
Luxembourg,Yes,,,
Madagascar,No,,,
Malawi,No,,,
Malaysia,No,,,
Maldives,Yes,,,
Mali,Yes,,,
Malta,Yes,,,
Marshall Islands,Not applicable,,,
Mauritania,No,,,
Mauritius,"Yes, but not directly. The returning officer publishes in a daily newspaper a notice of the time and place at which the return and the documents in support thereof can be inspected within 10 days of the receipt of the return.",,,
Mexico,Yes,,,
"Micronesia, Federated States of",Not applicable,,,
"Moldova, Republic of",Yes,,,
Monaco,No,,,
Mongolia,Yes,,,
Montenegro,Yes,,,
Morocco,Yes,,,
Mozambique,Yes,,,
Myanmar,Yes,,,
Namibia,Sometimes,,,
Nauru,Not applicable,,,
Nepal,Yes,,,
Netherlands,Yes,,,
New Zealand,Yes,,,
Nicaragua,Sometimes,,,
Niger,Yes,,,
Nigeria,Yes,,,
"North Macedonia, Republic of",Yes,,,
Norway,Yes,,,
Pakistan,Yes,,,
Palau,Yes,,,
Panama,Yes,,,
Papua New Guinea,No,,,
Paraguay,Yes,,,
Peru,Yes,,,
Philippines,Sometimes,,,
Poland,Yes,,,
Portugal,Yes,,,
Republic of The Congo (Brazzaville),No,,,
Romania,Yes,,,
Russian Federation,Yes,,,
Rwanda,No,,,
Saint Kitts and Nevis,Not applicable,,,
Saint Lucia,No,,,
Saint Vincent and The Grenadines,Not applicable,,,
Samoa,Not applicable,,,
San Marino,Sometimes,,,
Sao Tome and Principe,Yes,,,
Senegal,No,,,
Serbia,Yes,,,
Seychelles,No,,,
Sierra Leone,Yes,,,
Singapore,Yes,,,
Slovakia,Yes,,,
Slovenia,Yes,,,
Solomon Islands,No,,,
South Africa,No,,,
Spain,Yes,,,
Sri Lanka,Not applicable,,,
Sudan,Yes,,,
Suriname,Yes,,,
Swaziland,No data,,,
Sweden,Yes,,,
Switzerland,Not applicable,,,
Syrian Arab Republic,No data,,,
Taiwan,Yes,,,
Tajikistan,Yes,,,
"Tanzania, United Republic of",No data,,,
Thailand,Yes,,,
Timor-Leste,Yes,,,
Togo,Yes,,,
Tonga,No,,,
Trinidad and Tobago,Yes,,,
Tunisia,Yes,,,
Turkey,No,,,
Turkmenistan,Not applicable,,,
Tuvalu,No data,,,
Uganda,Yes,,,
Ukraine,Yes,,,
United Kingdom,Yes,,,
United States,Yes,,,
Uruguay,Yes,,,
Uzbekistan,Yes,,,
Vanuatu,Not applicable,,,
Venezuela,No,,,
Yemen,No,,,
Zambia,No,,,
Zimbabwe,Not applicable,,,
