Country,Region,Income Group,Factor 1: Limited Government Powers,1.2 Government powers are effectively limited by the legislature,1.3 Government powers are effectively limited by the judiciary,1.4 Government powers are effectively limited by independent auditing and review,1.5 Government officials are sanctioned for misconduct,1.6 Government powers are subject to non-governmental checks,1.7 Transition of power is subject to the law,Factor 2: Absence of Corruption,2.1 Government officials in the executive branch do not use public office for private gain,2.2 Government officials in the judicial branch do not use public office for private gain,2.3 Government officials in the police and the military do not use public office for private gain,2.4 Government officials in the legislative branch do not use public office for private gain,Factor 3: Order and Security,3.1 Crime is effectively controlled,3.2 Civil conflict is effectively limited,3.3 People do not resort to violence to redress personal grievances,Factor 4: Fundamental Rights,4.1 Equal treatment and absence of discrimination,4.2 The right to life and security of the person is effectively guaranteed,4.3 Due process of law and rights of the accused,4.4 Freedom of opinion and expression is effectively guaranteed,4.5 Freedom of belief and religion is effectively guaranteed,4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,4.7 Freedom of assembly and association is effectively guaranteed,4.8 Fundamental labor rights are effectively guaranteed,Factor 5: Open Government ,5.1 The laws are publicized and accessible,5.2 The laws are stable,5.3 Right to petition the government and public participation,5.4 Official information is available on request,Factor 6: Regulatory Enforcement,6.1 Government regulations are effectively enforced,6.2 Government regulations are applied and enforced without improper influence,6.3 Administrative proceedings are conducted without unreasonable delay,6.4 Due process is respected in administrative proceedings,6.5 The Government does not expropriate without adequate compensation,Factor 7: Civil Justice,7.1 People can access and afford civil justice,7.2 Civil justice is free of discrimination,7.3 Civil justice is free of corruption,7.4 Civil justice is free of improper government influence,7.5 Civil justice is not subject to unreasonable delays,7.6 Civil justice is effectively enforced,"7.7 ADRs are accessible, impartial, and effective",Factor 8: Criminal Justice,8.1 Criminal investigation system is effective,8.2 Criminal adjudication system is timely and effective,8.3 Correctional system is effective in reducing criminal behavior,8.4 Criminal system is impartial,8.5 Criminal system is free of corruption,8.6 Criminal system is free of improper government influence,8.7 Due process of law and rights of the accused,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Eastern Europe & Central Asia,Lower middle income,0.46,0.57,0.34,0.37,0.34,0.61,0.52,0.31,0.4,0.24,0.41,0.2,0.73,0.86,1,0.33,0.63,0.65,0.67,0.51,0.62,0.77,0.52,0.72,0.58,0.44,0.54,0.56,0.25,0.44,0.43,0.42,0.38,0.44,0.35,0.54,0.51,0.61,0.6,0.22,0.48,0.38,0.58,0.69,0.41,0.33,0.42,0.39,0.49,0.32,0.41,0.51,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Latin America & Caribbean,Upper middle income,0.46,0.5,0.39,0.44,0.26,0.54,0.63,0.47,0.45,0.63,0.54,0.28,0.60,0.56,1,0.23,0.63,0.65,0.74,0.58,0.54,0.72,0.58,0.69,0.55,0.48,0.56,0.47,0.48,0.41,0.43,0.42,0.48,0.36,0.46,0.43,0.54,0.63,0.72,0.62,0.45,0.3,0.34,0.7,0.43,0.3,0.32,0.32,0.59,0.47,0.46,0.58,,,,,,,,,,,,,,,,,,,,,,,,
Australia,East Asia & Pacific,High income,0.88,0.91,0.88,0.85,0.81,0.88,0.97,0.90,0.89,0.94,0.94,0.82,0.86,0.85,1,0.72,0.84,0.61,0.9,0.81,0.89,0.84,0.93,0.97,0.79,0.84,0.87,0.88,0.81,0.81,0.83,0.78,0.89,0.81,0.87,0.8,0.72,0.6,0.56,0.92,0.86,0.51,0.77,0.85,0.72,0.56,0.62,0.65,0.6,0.89,0.94,0.81,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Western Europe & North America,High income,0.82,0.88,0.8,0.7,0.69,0.9,0.97,0.77,0.76,0.88,0.91,0.54,0.89,0.92,1,0.73,0.82,0.69,0.85,0.8,0.9,0.87,0.78,0.95,0.77,0.80,0.85,1,0.83,0.52,0.84,0.82,0.88,0.85,0.81,0.86,0.74,0.66,0.59,0.9,0.76,0.58,0.79,0.94,0.75,0.64,0.75,0.7,0.64,0.86,0.85,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,South Asia,Low income,0.40,0.52,0.41,0.39,0.26,0.42,0.41,0.29,0.34,0.25,0.23,0.34,0.62,0.67,1,0.2,0.43,0.51,0.27,0.33,0.43,0.45,0.42,0.55,0.53,0.35,0.44,0.16,0.44,0.38,0.36,0.35,0.22,0.46,0.26,0.48,0.32,0.39,0.3,0.26,0.46,0.17,0.27,0.4,0.38,0.47,0.42,0.29,0.45,0.32,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Eastern Europe & Central Asia,Upper middle income,0.34,0.28,0.26,0.41,0.49,0.25,0.32,0.50,0.52,0.47,0.65,0.38,0.78,0.82,0.92,0.6,0.45,0.71,0.5,0.55,0.26,0.66,0.04,0.35,0.55,0.36,0.46,0.33,0.33,0.31,0.56,0.58,0.58,0.71,0.44,0.47,0.63,0.6,0.73,0.54,0.38,0.72,0.68,0.77,0.59,0.69,0.68,0.55,0.69,0.66,0.34,0.55,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Western Europe & North America,High income,0.78,0.83,0.72,0.81,0.74,0.76,0.82,0.78,0.78,0.88,0.87,0.6,0.84,0.82,1,0.69,0.81,0.78,0.89,0.76,0.77,0.8,0.88,0.8,0.84,0.67,0.66,0.76,0.65,0.6,0.70,0.69,0.82,0.54,0.68,0.76,0.68,0.65,0.74,0.81,0.73,0.41,0.65,0.77,0.72,0.75,0.66,0.48,0.71,0.8,0.84,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Latin America & Caribbean,Lower middle income,0.38,0.37,0.25,0.38,0.36,0.41,0.49,0.24,0.34,0.22,0.22,0.19,0.67,0.66,1,0.36,0.49,0.44,0.49,0.39,0.42,0.66,0.45,0.52,0.55,0.41,0.42,0.48,0.39,0.35,0.37,0.31,0.38,0.46,0.33,0.39,0.38,0.47,0.4,0.25,0.36,0.2,0.4,0.58,0.28,0.2,0.14,0.24,0.39,0.23,0.38,0.39,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Eastern Europe & Central Asia,Upper middle income,0.55,0.65,0.51,0.53,0.39,0.55,0.63,0.47,0.43,0.51,0.64,0.29,0.76,0.85,1,0.44,0.67,0.64,0.72,0.7,0.56,0.72,0.68,0.65,0.69,0.49,0.56,0.51,0.43,0.47,0.53,0.46,0.47,0.48,0.65,0.59,0.50,0.54,0.6,0.5,0.56,0.25,0.38,0.66,0.62,0.75,0.68,0.43,0.64,0.6,0.51,0.7,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,Upper middle income,0.73,0.76,0.79,0.59,0.7,0.76,0.8,0.75,0.72,0.8,0.77,0.71,0.76,0.67,1,0.62,0.59,0.5,0.58,0.66,0.76,0.68,0.21,0.74,0.61,0.67,0.67,0.7,0.86,0.46,0.71,0.74,0.79,0.61,0.65,0.76,0.65,0.59,0.46,0.83,0.83,0.5,0.69,0.67,0.72,0.75,0.74,0.5,0.7,0.85,0.82,0.66,,,,,,,,,,,,,,,,,,,,,,,,
