Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Abbreviation,AFG,ALB,ARG,AUS,AUT,BGD,BLR,BEL,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,CIV,HRV,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GEO,DEU,GHA,GRC,GTM,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,KYZ,LBN,LBR,MKD,MDG,MWI,MYS,MEX,MDA,MNG,MAR,MMR,NPL,NLD,NZL,NIC,NGA,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROM,RUS,SEN,SER,SLE,SIN,SVN,ZAF,ESP,LKA,SWE,TZA,THA,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,SA,ECA,LAC,EAP,EURNA,SA,ECA,EURNA,LAC,ECA,AFR,LAC,EURNA,AFR,EAP,AFR,EURNA,LAC,EAP,LAC,AFR,EURNA,EURNA,EURNA,LAC,LAC,MENA,LAC,EURNA,AFR,EURNA,EURNA,ECA,EURNA,AFR,EURNA,LAC,EAP,EURNA,SA,EAP,MENA,EURNA,LAC,EAP,MENA,ECA,AFR,ECA,MENA,AFR,ECA,AFR,AFR,EAP,LAC,ECA,EAP,MENA,EAP,SA,EURNA,EAP,LAC,AFR,EURNA,SA,LAC,LAC,EAP,EURNA,EURNA,EAP,EURNA,ECA,AFR,ECA,AFR,EAP,EURNA,AFR,EURNA,SA,EURNA,AFR,EAP,MENA,ECA,AFR,ECA,MENA,EURNA,EURNA,LAC,ECA,LAC,EAP,AFR,AFR
Income Group,L,LM,UM,H,H,LM,UM,H,LM,UM,UM,UM,UM,L,L,LM,H,UM,UM,UM,LM,H,H,H,UM,UM,LM,LM,H,L,H,H,LM,H,LM,H,LM,H,H,LM,LM,UM,H,UM,H,UM,UM,L,L,UM,L,UM,L,L,UM,UM,LM,LM,LM,L,L,H,H,LM,LM,H,LM,UM,UM,LM,H,H,H,UM,UM,LM,UM,L,H,H,UM,H,LM,H,L,UM,UM,UM,L,LM,H,H,H,H,LM,UM,LM,L,L
Overall Score,0.34,0.49,0.50,0.80,0.82,0.39,0.51,0.76,0.39,0.55,0.67,0.54,0.53,0.51,0.40,0.39,0.78,0.68,0.45,0.49,0.46,0.57,0.67,0.88,0.47,0.45,0.45,0.48,0.76,0.42,0.84,0.74,0.60,0.80,0.57,0.59,0.44,0.76,0.61,0.48,0.52,0.44,0.63,0.53,0.78,0.57,0.47,0.43,0.45,0.51,0.42,0.58,0.45,0.51,0.58,0.45,0.45,0.51,0.51,0.41,0.50,0.83,0.83,0.43,0.39,0.88,0.36,0.50,0.49,0.50,0.67,0.66,0.77,0.59,0.45,0.54,0.51,0.44,0.79,0.65,0.55,0.67,0.52,0.85,0.47,0.52,0.55,0.50,0.41,0.47,0.65,0.78,0.71,0.69,0.45,0.31,0.48,0.47,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.43,0.47,0.47,0.86,0.86,0.41,0.34,0.81,0.38,0.54,0.69,0.63,0.53,0.45,0.34,0.39,0.80,0.76,0.35,0.55,0.44,0.58,0.72,0.94,0.48,0.40,0.45,0.49,0.80,0.35,0.88,0.79,0.53,0.83,0.68,0.66,0.52,0.72,0.61,0.61,0.64,0.36,0.69,0.62,0.76,0.50,0.35,0.51,0.47,0.57,0.53,0.52,0.41,0.52,0.55,0.55,0.43,0.53,0.56,0.41,0.56,0.86,0.88,0.31,0.47,0.90,0.46,0.45,0.60,0.59,0.73,0.74,0.76,0.58,0.36,0.63,0.49,0.55,0.73,0.65,0.61,0.68,0.53,0.90,0.54,0.50,0.58,0.46,0.41,0.41,0.58,0.81,0.74,0.75,0.29,0.17,0.40,0.53,0.25
1.1 Government powers are effectively limited by the legislature,0.61,0.58,0.41,0.86,0.90,0.55,0.27,0.84,0.33,0.62,0.72,0.72,0.65,0.40,0.43,0.33,0.77,0.77,0.58,0.59,0.44,0.59,0.78,0.90,0.52,0.36,0.51,0.61,0.76,0.39,0.85,0.80,0.50,0.83,0.79,0.63,0.59,0.87,0.52,0.69,0.76,0.48,0.72,0.67,0.81,0.38,0.31,0.65,0.64,0.72,0.68,0.51,0.44,0.58,0.70,0.70,0.51,0.61,0.61,0.58,0.61,0.85,0.89,0.36,0.63,0.92,0.53,0.34,0.63,0.72,0.79,0.75,0.77,0.62,0.40,0.60,0.56,0.61,0.67,0.69,0.66,0.67,0.52,0.81,0.65,0.62,0.66,0.47,0.43,0.59,0.52,0.83,0.81,0.73,0.07,0.23,0.30,0.51,0.34
1.2 Government powers are effectively limited by the judiciary,0.38,0.49,0.35,0.85,0.81,0.45,0.28,0.75,0.24,0.51,0.74,0.62,0.41,0.41,0.26,0.30,0.79,0.65,0.40,0.52,0.37,0.45,0.65,0.92,0.36,0.27,0.44,0.42,0.81,0.35,0.83,0.69,0.42,0.84,0.65,0.56,0.44,0.81,0.61,0.67,0.59,0.47,0.67,0.66,0.81,0.48,0.26,0.52,0.38,0.46,0.49,0.39,0.35,0.56,0.58,0.50,0.32,0.44,0.55,0.38,0.57,0.85,0.90,0.25,0.49,0.91,0.53,0.32,0.45,0.60,0.74,0.66,0.78,0.56,0.30,0.51,0.33,0.42,0.69,0.54,0.60,0.59,0.53,0.84,0.51,0.53,0.55,0.44,0.38,0.25,0.63,0.79,0.73,0.69,0.23,0.16,0.26,0.38,0.26
1.3 Government powers are effectively limited by independent auditing and review,0.24,0.38,0.44,0.83,0.77,0.41,0.39,0.78,0.41,0.49,0.46,0.49,0.49,0.38,0.23,0.47,0.80,0.79,0.37,0.48,0.44,0.50,0.70,0.95,0.31,0.37,0.44,0.34,0.76,0.38,0.85,0.74,0.50,0.70,0.51,0.58,0.37,0.69,0.40,0.52,0.51,0.24,0.65,0.54,0.60,0.69,0.37,0.41,0.28,0.49,0.23,0.52,0.43,0.42,0.52,0.47,0.37,0.46,0.37,0.30,0.49,0.83,0.81,0.24,0.28,0.74,0.28,0.38,0.62,0.56,0.69,0.70,0.72,0.45,0.35,0.63,0.39,0.48,0.81,0.66,0.50,0.60,0.55,0.92,0.43,0.36,0.54,0.42,0.43,0.29,0.75,0.76,0.68,0.64,0.43,0.04,0.43,0.62,0.27
1.4 Government officials are sanctioned for misconduct,0.30,0.33,0.30,0.81,0.78,0.27,0.50,0.76,0.36,0.42,0.69,0.40,0.34,0.40,0.38,0.43,0.75,0.65,0.45,0.46,0.45,0.56,0.59,0.94,0.35,0.37,0.50,0.30,0.81,0.47,0.88,0.76,0.58,0.78,0.55,0.52,0.35,0.81,0.58,0.39,0.57,0.32,0.58,0.43,0.76,0.59,0.45,0.42,0.39,0.47,0.35,0.46,0.40,0.44,0.56,0.32,0.30,0.45,0.54,0.53,0.42,0.84,0.85,0.23,0.39,0.94,0.28,0.27,0.42,0.47,0.59,0.61,0.70,0.48,0.35,0.57,0.34,0.51,0.89,0.52,0.47,0.58,0.47,0.86,0.48,0.44,0.48,0.47,0.48,0.32,0.74,0.78,0.68,0.69,0.42,0.10,0.55,0.62,0.35
