Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,ARG,AUS,AUT,BGD,BLR,BEL,BLZ,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,CRI,CIV,HRV,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GEO,DEU,GHA,GRC,GTM,HND,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,KYZ,LBN,LBR,MKD,MDG,MWI,MYS,MEX,MDA,MNG,MAR,MMR,NPL,NLD,NZL,NIC,NGA,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROM,RUS,SEN,SER,SLE,SIN,SVN,ZAF,ESP,LKA,SWE,TZA,THA,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",South Asia,Eastern Europe & Central Asia,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America",Eastern Europe & Central Asia,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",South Asia,East Asia & Pacific,Middle East & North Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,East Asia & Pacific,South Asia,"EU, EFTA & North America",East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America",South Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America","EU, EFTA & North America",East Asia & Pacific,"EU, EFTA & North America",Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",South Asia,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,"EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low Income,Upper Middle Income,Upper Middle Income,High Income,High Income,Low Income,Upper Middle Income,High Income,Upper Middle Income,Lower Middle Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Low Income,Low Income,Lower Middle Income,High Income,High Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,High Income,High Income,High Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,High Income,Low Income,High Income,High Income,Lower Middle Income,High Income,Lower Middle Income,High Income,Lower Middle Income,Lower Middle Income,High Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Upper Middle Income,High Income,Upper Middle Income,High Income,Upper Middle Income,Upper Middle Income,Low Income,Lower Middle Income,Upper Middle Income,Low Income,Upper Middle Income,Low Income,Low Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Lower Middle Income,Low Income,Low Income,High Income,High Income,Lower Middle Income,Lower Middle Income,High Income,Lower Middle Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,High Income,High Income,High Income,Upper Middle Income,High Income,Lower Middle Income,Upper Middle Income,Low Income,High Income,High Income,Upper Middle Income,High Income,Lower Middle Income,High Income,Low Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Low Income,Lower Middle Income,High Income,High Income,High Income,High Income,Lower Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Low Income
WJP Rule of Law Index: Overall Score,0.35,0.52,0.52,0.80,0.82,0.42,0.53,0.77,0.49,0.41,0.57,0.64,0.54,0.55,0.47,0.37,0.40,0.78,0.68,0.48,0.50,0.68,0.47,0.60,0.72,0.87,0.48,0.47,0.44,0.51,0.77,0.42,0.85,0.74,0.65,0.81,0.60,0.60,0.44,0.42,0.76,0.58,0.51,0.52,0.43,0.64,0.56,0.78,0.56,0.50,0.45,0.47,0.48,0.45,0.55,0.45,0.50,0.57,0.47,0.48,0.53,0.52,0.42,0.53,0.83,0.83,0.43,0.41,0.87,0.38,0.53,0.50,0.53,0.71,0.70,0.79,0.62,0.47,0.57,0.50,0.44,0.81,0.66,0.58,0.68,0.51,0.85,0.47,0.52,0.56,0.46,0.41,0.48,0.67,0.78,0.73,0.71,0.46,0.32,0.50,0.47,0.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.44,0.55,0.49,0.83,0.85,0.44,0.35,0.81,0.47,0.38,0.57,0.63,0.61,0.53,0.41,0.33,0.44,0.78,0.74,0.41,0.55,0.78,0.47,0.59,0.74,0.92,0.49,0.40,0.39,0.52,0.79,0.36,0.88,0.78,0.62,0.85,0.69,0.65,0.51,0.45,0.71,0.49,0.62,0.64,0.37,0.69,0.61,0.76,0.49,0.37,0.56,0.51,0.56,0.54,0.47,0.44,0.57,0.52,0.51,0.45,0.54,0.57,0.45,0.62,0.87,0.85,0.35,0.51,0.88,0.49,0.53,0.60,0.61,0.77,0.79,0.79,0.63,0.39,0.66,0.50,0.52,0.76,0.62,0.61,0.69,0.47,0.88,0.53,0.46,0.62,0.37,0.39,0.45,0.58,0.80,0.76,0.76,0.31,0.19,0.42,0.49,0.26
1.1 Government powers are effectively limited by the legislature,0.59,0.60,0.41,0.86,0.85,0.52,0.27,0.87,0.52,0.38,0.65,0.74,0.70,0.70,0.42,0.43,0.38,0.73,0.73,0.62,0.60,0.81,0.51,0.61,0.75,0.90,0.53,0.35,0.37,0.65,0.78,0.42,0.86,0.79,0.60,0.84,0.78,0.61,0.56,0.51,0.79,0.38,0.69,0.78,0.26,0.72,0.68,0.81,0.35,0.34,0.73,0.61,0.75,0.70,0.43,0.52,0.65,0.66,0.60,0.60,0.60,0.67,0.67,0.74,0.88,0.86,0.38,0.64,0.93,0.62,0.53,0.63,0.69,0.79,0.79,0.80,0.66,0.40,0.61,0.56,0.57,0.69,0.56,0.64,0.69,0.48,0.80,0.69,0.40,0.70,0.40,0.41,0.61,0.53,0.83,0.87,0.72,0.11,0.24,0.31,0.51,0.36
1.2 Government powers are effectively limited by the judiciary,0.34,0.55,0.36,0.87,0.83,0.47,0.32,0.80,0.45,0.27,0.58,0.75,0.60,0.41,0.36,0.25,0.35,0.83,0.63,0.46,0.54,0.70,0.43,0.48,0.68,0.96,0.38,0.33,0.50,0.45,0.81,0.35,0.86,0.71,0.56,0.88,0.70,0.62,0.42,0.31,0.78,0.43,0.70,0.65,0.48,0.70,0.71,0.84,0.49,0.32,0.56,0.41,0.50,0.49,0.35,0.38,0.63,0.57,0.47,0.33,0.49,0.57,0.46,0.63,0.91,0.90,0.29,0.52,0.91,0.53,0.43,0.46,0.68,0.79,0.76,0.84,0.63,0.32,0.57,0.36,0.38,0.82,0.55,0.63,0.62,0.44,0.87,0.54,0.59,0.59,0.40,0.37,0.22,0.65,0.83,0.80,0.72,0.21,0.18,0.28,0.40,0.26
1.3 Government powers are effectively limited by independent auditing and review,0.40,0.54,0.58,0.68,0.78,0.49,0.40,0.70,0.33,0.45,0.50,0.41,0.53,0.51,0.41,0.32,0.54,0.67,0.74,0.48,0.50,0.78,0.52,0.58,0.72,0.79,0.34,0.50,0.35,0.49,0.65,0.41,0.80,0.72,0.60,0.70,0.57,0.63,0.47,0.46,0.69,0.55,0.51,0.46,0.40,0.63,0.40,0.56,0.58,0.41,0.48,0.56,0.56,0.28,0.52,0.45,0.41,0.58,0.49,0.40,0.44,0.44,0.37,0.48,0.78,0.66,0.43,0.39,0.58,0.43,0.40,0.63,0.58,0.75,0.79,0.75,0.51,0.44,0.62,0.47,0.46,0.65,0.60,0.51,0.62,0.46,0.80,0.36,0.40,0.57,0.29,0.45,0.44,0.70,0.59,0.56,0.67,0.45,0.25,0.62,0.43,0.31
1.4 Government officials are sanctioned for misconduct,0.30,0.46,0.31,0.79,0.77,0.33,0.56,0.75,0.28,0.33,0.47,0.59,0.36,0.33,0.24,0.28,0.43,0.77,0.65,0.57,0.45,0.63,0.41,0.54,0.66,0.92,0.31,0.31,0.54,0.30,0.83,0.44,0.90,0.75,0.58,0.81,0.56,0.50,0.31,0.39,0.83,0.44,0.38,0.55,0.41,0.55,0.46,0.77,0.57,0.47,0.43,0.43,0.38,0.32,0.44,0.36,0.50,0.55,0.29,0.27,0.49,0.58,0.53,0.50,0.86,0.85,0.26,0.43,0.92,0.30,0.35,0.42,0.52,0.70,0.65,0.74,0.53,0.39,0.56,0.32,0.49,0.92,0.59,0.50,0.62,0.46,0.86,0.45,0.41,0.48,0.34,0.45,0.32,0.77,0.80,0.68,0.72,0.37,0.11,0.55,0.55,0.36
