Country,Afghanistan,Albania,Antigua and Barbuda,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,CRI,CIV,HRV,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GEO,DEU,GHA,GRC,GRD,GTM,GUY,HND,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,KGZ,LBN,LBR,MKD,MDG,MWI,MYS,MEX,MDA,MNG,MAR,MMR,NPL,NLD,NZL,NIC,NGA,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROM,RUS,SEN,SER,SLN,SIN,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SUR,SWE,TZA,THA,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe & Central Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",Latin America & Caribbean,South Asia,Latin America & Caribbean,Eastern Europe & Central Asia,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America",Eastern Europe & Central Asia,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",South Asia,East Asia & Pacific,Middle East & North Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,East Asia & Pacific,South Asia,"EU, EFTA & North America",East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America",South Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America","EU, EFTA & North America",East Asia & Pacific,"EU, EFTA & North America",Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,"EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low Income,Upper Middle Income,High Income,Upper Middle Income,High Income,High Income,High Income,Lower Middle Income,High Income,Upper Middle Income,High Income,Upper Middle Income,Lower Middle Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Low Income,Lower Middle Income,Lower Middle Income,High Income,High Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,High Income,High Income,High Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,High Income,Low Income,High Income,High Income,Upper Middle Income,High Income,Lower Middle Income,High Income,Upper Middle Income,Lower Middle Income,Upper Middle Income,Lower Middle Income,High Income,High Income,Lower Middle Income,Lower Middle Income,Upper Middle Income,High Income,Upper Middle Income,High Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Upper Middle Income,Low Income,Upper Middle Income,Low Income,Low Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Lower Middle Income,Lower Middle Income,Low Income,High Income,High Income,Lower Middle Income,Lower Middle Income,High Income,Lower Middle Income,Upper Middle Income,Upper Middle Income,Lower Middle Income,High Income,High Income,High Income,Upper Middle Income,Upper Middle Income,Low Income,Upper Middle Income,Low Income,High Income,High Income,Upper Middle Income,High Income,Lower Middle Income,High Income,Upper Middle Income,Upper Middle Income,Upper Middle Income,High Income,Low Income,Upper Middle Income,High Income,Lower Middle Income,Upper Middle Income,Low Income,Lower Middle Income,High Income,High Income,High Income,High Income,Lower Middle Income,Upper Middle Income,Lower Middle Income,Lower Middle Income,Low Income
WJP Rule of Law Index: Overall Score,0.35,0.50,0.67,0.55,0.81,0.83,0.61,0.41,0.67,0.54,0.79,0.47,0.40,0.56,0.58,0.55,0.54,0.48,0.33,0.37,0.81,0.68,0.48,0.51,0.68,0.46,0.61,0.75,0.89,0.60,0.47,0.45,0.37,0.49,0.79,0.38,0.87,0.72,0.65,0.83,0.58,0.60,0.66,0.44,0.49,0.42,0.77,0.57,0.51,0.52,0.47,0.64,0.57,0.78,0.59,0.50,0.43,0.47,0.46,0.45,0.54,0.45,0.51,0.54,0.46,0.49,0.54,0.53,0.43,0.52,0.86,0.83,0.42,0.44,0.88,0.38,0.52,0.51,0.51,0.71,0.71,0.73,0.66,0.45,0.57,0.50,0.45,0.82,0.67,0.59,0.70,0.51,0.66,0.64,0.61,0.53,0.86,0.47,0.51,0.57,0.53,0.43,0.39,0.49,0.66,0.81,0.74,0.72,0.45,0.28,0.51,0.48,0.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.43,0.53,0.64,0.59,0.83,0.86,0.60,0.43,0.66,0.36,0.83,0.45,0.39,0.57,0.55,0.61,0.49,0.46,0.31,0.41,0.84,0.73,0.38,0.53,0.78,0.45,0.60,0.76,0.93,0.57,0.44,0.39,0.31,0.51,0.80,0.35,0.89,0.77,0.62,0.85,0.67,0.64,0.63,0.53,0.53,0.44,0.70,0.46,0.64,0.64,0.44,0.70,0.64,0.74,0.53,0.44,0.50,0.50,0.51,0.56,0.43,0.46,0.57,0.50,0.47,0.43,0.53,0.57,0.50,0.63,0.89,0.86,0.32,0.54,0.91,0.52,0.56,0.63,0.59,0.68,0.80,0.68,0.69,0.40,0.67,0.46,0.52,0.75,0.61,0.61,0.70,0.53,0.67,0.64,0.57,0.52,0.88,0.52,0.47,0.62,0.64,0.32,0.40,0.45,0.61,0.85,0.81,0.79,0.30,0.18,0.49,0.50,0.26
1.1 Government powers are effectively limited by the legislature,0.60,0.66,0.66,0.61,0.83,0.83,0.64,0.55,0.74,0.27,0.83,0.50,0.36,0.64,0.57,0.74,0.51,0.48,0.39,0.38,0.79,0.73,0.58,0.59,0.78,0.47,0.68,0.77,0.91,0.50,0.48,0.34,0.21,0.61,0.77,0.42,0.87,0.76,0.62,0.82,0.79,0.58,0.64,0.63,0.59,0.46,0.78,0.36,0.77,0.78,0.33,0.73,0.67,0.67,0.63,0.44,0.67,0.57,0.71,0.75,0.40,0.54,0.62,0.58,0.58,0.61,0.58,0.68,0.71,0.74,0.89,0.86,0.34,0.66,0.94,0.62,0.59,0.72,0.67,0.61,0.79,0.63,0.74,0.35,0.65,0.52,0.55,0.65,0.55,0.57,0.69,0.52,0.68,0.63,0.54,0.53,0.83,0.55,0.55,0.74,0.73,0.40,0.40,0.63,0.55,0.85,0.86,0.80,0.12,0.26,0.42,0.52,0.32
1.2 Government powers are effectively limited by the judiciary,0.33,0.32,0.74,0.45,0.83,0.84,0.64,0.49,0.75,0.32,0.80,0.46,0.26,0.57,0.63,0.61,0.36,0.39,0.25,0.31,0.86,0.61,0.38,0.47,0.72,0.40,0.50,0.71,0.94,0.63,0.38,0.32,0.47,0.47,0.81,0.35,0.88,0.70,0.54,0.87,0.69,0.60,0.77,0.48,0.61,0.32,0.72,0.43,0.68,0.63,0.52,0.69,0.74,0.77,0.62,0.43,0.51,0.33,0.49,0.51,0.32,0.38,0.60,0.54,0.44,0.33,0.48,0.59,0.50,0.63,0.91,0.90,0.30,0.57,0.91,0.55,0.47,0.49,0.59,0.62,0.75,0.62,0.66,0.37,0.57,0.32,0.41,0.79,0.53,0.66,0.63,0.50,0.78,0.69,0.55,0.57,0.83,0.56,0.58,0.77,0.62,0.29,0.42,0.24,0.67,0.85,0.83,0.72,0.21,0.14,0.36,0.42,0.31
1.3 Government powers are effectively limited by independent auditing and review,0.38,0.64,0.55,0.63,0.77,0.81,0.52,0.46,0.52,0.46,0.85,0.32,0.44,0.54,0.42,0.52,0.52,0.42,0.24,0.52,0.84,0.76,0.46,0.49,0.79,0.49,0.54,0.79,0.84,0.74,0.34,0.38,0.38,0.46,0.74,0.41,0.82,0.78,0.65,0.79,0.50,0.67,0.52,0.40,0.36,0.46,0.74,0.44,0.59,0.45,0.47,0.69,0.55,0.69,0.43,0.47,0.40,0.47,0.42,0.37,0.58,0.41,0.41,0.58,0.42,0.38,0.47,0.49,0.43,0.54,0.85,0.78,0.31,0.49,0.81,0.51,0.42,0.59,0.52,0.64,0.84,0.70,0.57,0.47,0.64,0.48,0.49,0.71,0.66,0.59,0.66,0.56,0.55,0.59,0.57,0.36,0.89,0.37,0.44,0.42,0.57,0.31,0.40,0.39,0.74,0.84,0.81,0.71,0.39,0.17,0.65,0.47,0.31
1.4 Government officials are sanctioned for misconduct,0.31,0.42,0.58,0.34,0.80,0.81,0.45,0.36,0.46,0.53,0.77,0.20,0.35,0.43,0.49,0.36,0.33,0.37,0.32,0.43,0.80,0.62,0.48,0.41,0.62,0.35,0.48,0.65,0.93,0.44,0.25,0.32,0.37,0.35,0.81,0.37,0.90,0.72,0.52,0.81,0.56,0.48,0.46,0.38,0.39,0.37,0.84,0.40,0.38,0.56,0.47,0.56,0.45,0.76,0.58,0.50,0.34,0.46,0.34,0.32,0.34,0.38,0.48,0.50,0.21,0.27,0.44,0.54,0.51,0.50,0.88,0.84,0.23,0.45,0.90,0.35,0.32,0.45,0.49,0.62,0.70,0.69,0.60,0.37,0.57,0.29,0.46,0.94,0.52,0.48,0.61,0.42,0.61,0.46,0.51,0.43,0.84,0.56,0.41,0.37,0.43,0.27,0.40,0.31,0.79,0.81,0.69,0.72,0.39,0.08,0.63,0.54,0.32
