Country,Afghanistan,Albania,Antigua and Barbuda,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,CRI,CIV,HRV,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GEO,DEU,GHA,GRC,GRD,GTM,GUY,HND,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,KGZ,LBN,LBR,MKD,MDG,MWI,MYS,MEX,MDA,MNG,MAR,MMR,NPL,NLD,NZL,NIC,NGA,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROU,RUS,SEN,SRB,SLE,SGP,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SUR,SWE,TZA,THA,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe & Central Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",Latin America & Caribbean,South Asia,Latin America & Caribbean,Eastern Europe & Central Asia,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America","EU, EFTA & North America",Eastern Europe & Central Asia,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America",South Asia,East Asia & Pacific,Middle East & North Africa,"EU, EFTA & North America",Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,East Asia & Pacific,South Asia,"EU, EFTA & North America",East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,"EU, EFTA & North America",South Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,"EU, EFTA & North America","EU, EFTA & North America",East Asia & Pacific,"EU, EFTA & North America",Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,"EU, EFTA & North America",Sub-Saharan Africa,"EU, EFTA & North America",South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,"EU, EFTA & North America",Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,"EU, EFTA & North America","EU, EFTA & North America",Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low,Upper Middle,High,Upper Middle,High,High,High,Lower Middle,High,Upper Middle,High,Upper Middle,Lower Middle,Upper Middle,Upper Middle,Upper Middle,Upper Middle,Low,Lower Middle,Lower Middle,High,High,Upper Middle,Upper Middle,Upper Middle,Lower Middle,Upper Middle,High,High,Upper Middle,Upper Middle,Upper Middle,Lower Middle,Lower Middle,High,Low,High,High,Lower Middle,High,Lower Middle,High,Upper Middle,Lower Middle,Upper Middle,Lower Middle,High,High,Lower Middle,Lower Middle,Upper Middle,High,Upper Middle,High,Lower Middle,Upper Middle,Lower Middle,Lower Middle,Upper Middle,Low,Upper Middle,Low,Low,Upper Middle,Upper Middle,Lower Middle,Lower Middle,Lower Middle,Lower Middle,Low,High,High,Lower Middle,Lower Middle,High,Lower Middle,Upper Middle,Upper Middle,Lower Middle,High,High,High,Upper Middle,Upper Middle,Low,Upper Middle,Low,High,High,Upper Middle,High,Lower Middle,High,Upper Middle,Upper Middle,Upper Middle,High,Low,Upper Middle,High,Lower Middle,Upper Middle,Low,Lower Middle,High,High,High,High,Lower Middle,Upper Middle,Lower Middle,Lower Middle,Low
WJP Rule of Law Index: Overall Score,0.34,0.51,0.63,0.58,0.81,0.81,0.60,0.41,0.65,0.51,0.77,0.47,0.38,0.53,0.58,0.54,0.53,0.51,0.32,0.37,0.81,0.67,0.50,0.50,0.68,0.47,0.61,0.74,0.89,0.60,0.47,0.47,0.36,0.48,0.80,0.38,0.87,0.74,0.61,0.83,0.59,0.60,0.61,0.44,0.50,0.40,0.77,0.55,0.52,0.52,0.48,0.65,0.58,0.79,0.60,0.51,0.45,0.47,0.47,0.45,0.53,0.44,0.51,0.54,0.45,0.49,0.54,0.51,0.42,0.53,0.85,0.83,0.43,0.44,0.89,0.39,0.52,0.52,0.47,0.67,0.72,0.72,0.65,0.47,0.55,0.50,0.45,0.80,0.67,0.59,0.70,0.52,0.66,0.63,0.61,0.51,0.86,0.47,0.50,0.56,0.53,0.42,0.40,0.50,0.65,0.81,0.73,0.71,0.46,0.29,0.50,0.47,0.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.43,0.52,0.59,0.63,0.84,0.83,0.61,0.42,0.66,0.34,0.81,0.47,0.36,0.46,0.55,0.58,0.45,0.53,0.32,0.39,0.84,0.71,0.40,0.53,0.79,0.44,0.59,0.74,0.94,0.57,0.45,0.43,0.33,0.48,0.84,0.33,0.92,0.76,0.57,0.86,0.72,0.68,0.61,0.54,0.55,0.39,0.66,0.44,0.63,0.64,0.43,0.71,0.62,0.74,0.56,0.45,0.49,0.48,0.49,0.55,0.45,0.45,0.57,0.49,0.46,0.44,0.55,0.55,0.46,0.61,0.88,0.85,0.32,0.55,0.94,0.53,0.53,0.65,0.55,0.61,0.80,0.70,0.66,0.39,0.58,0.42,0.52,0.70,0.63,0.61,0.71,0.56,0.68,0.62,0.57,0.47,0.88,0.52,0.47,0.63,0.60,0.30,0.42,0.45,0.58,0.84,0.77,0.76,0.32,0.18,0.46,0.47,0.28
1.1 Government powers are effectively limited by the legislature,0.52,0.66,0.60,0.67,0.85,0.82,0.64,0.58,0.76,0.27,0.84,0.54,0.33,0.53,0.52,0.75,0.45,0.62,0.41,0.36,0.81,0.71,0.60,0.57,0.80,0.43,0.66,0.73,0.92,0.44,0.51,0.48,0.19,0.57,0.83,0.40,0.88,0.71,0.59,0.82,0.80,0.64,0.60,0.61,0.61,0.46,0.72,0.36,0.71,0.79,0.34,0.72,0.66,0.65,0.65,0.46,0.61,0.52,0.76,0.63,0.55,0.48,0.62,0.49,0.58,0.60,0.69,0.64,0.55,0.77,0.90,0.83,0.36,0.68,0.95,0.57,0.53,0.78,0.61,0.54,0.84,0.63,0.73,0.36,0.58,0.45,0.54,0.54,0.68,0.54,0.70,0.57,0.69,0.65,0.52,0.47,0.83,0.49,0.53,0.77,0.64,0.40,0.41,0.56,0.55,0.84,0.83,0.78,0.11,0.27,0.42,0.49,0.31
1.2 Government powers are effectively limited by the judiciary,0.35,0.31,0.71,0.48,0.83,0.83,0.65,0.50,0.75,0.29,0.79,0.48,0.24,0.41,0.60,0.66,0.35,0.52,0.25,0.28,0.85,0.57,0.40,0.48,0.75,0.40,0.51,0.73,0.95,0.65,0.39,0.37,0.43,0.46,0.83,0.31,0.90,0.70,0.49,0.86,0.72,0.65,0.73,0.48,0.62,0.35,0.76,0.43,0.67,0.66,0.48,0.69,0.67,0.75,0.60,0.44,0.53,0.29,0.46,0.52,0.36,0.39,0.62,0.53,0.46,0.35,0.53,0.53,0.47,0.62,0.91,0.86,0.32,0.59,0.95,0.55,0.46,0.52,0.58,0.56,0.77,0.59,0.65,0.37,0.46,0.35,0.42,0.75,0.56,0.66,0.62,0.60,0.80,0.73,0.54,0.57,0.83,0.51,0.54,0.78,0.51,0.28,0.43,0.30,0.57,0.84,0.80,0.69,0.20,0.14,0.37,0.37,0.33
1.3 Government powers are effectively limited by independent auditing and review,0.44,0.62,0.49,0.71,0.81,0.76,0.48,0.37,0.44,0.37,0.84,0.34,0.38,0.51,0.44,0.52,0.41,0.50,0.23,0.52,0.80,0.82,0.50,0.50,0.81,0.49,0.55,0.72,0.92,0.76,0.35,0.39,0.37,0.41,0.86,0.40,0.94,0.82,0.60,0.86,0.62,0.73,0.51,0.43,0.43,0.34,0.57,0.42,0.59,0.54,0.43,0.76,0.58,0.72,0.53,0.53,0.46,0.45,0.33,0.46,0.49,0.42,0.46,0.55,0.39,0.43,0.45,0.50,0.40,0.55,0.87,0.84,0.29,0.46,0.94,0.54,0.40,0.58,0.53,0.59,0.79,0.80,0.55,0.41,0.56,0.45,0.55,0.65,0.63,0.64,0.70,0.56,0.59,0.44,0.61,0.27,0.94,0.51,0.38,0.40,0.64,0.29,0.49,0.44,0.72,0.82,0.78,0.67,0.44,0.12,0.48,0.54,0.38
1.4 Government officials are sanctioned for misconduct,0.35,0.43,0.50,0.38,0.79,0.80,0.43,0.36,0.53,0.55,0.72,0.26,0.31,0.35,0.54,0.32,0.34,0.36,0.30,0.42,0.80,0.57,0.49,0.42,0.60,0.39,0.45,0.66,0.92,0.45,0.29,0.37,0.40,0.37,0.80,0.38,0.92,0.69,0.44,0.81,0.59,0.54,0.43,0.41,0.43,0.28,0.74,0.35,0.38,0.54,0.48,0.58,0.45,0.79,0.58,0.49,0.31,0.45,0.29,0.37,0.34,0.39,0.44,0.50,0.25,0.30,0.41,0.51,0.50,0.43,0.85,0.81,0.21,0.48,0.90,0.38,0.35,0.46,0.43,0.57,0.69,0.69,0.56,0.37,0.54,0.29,0.50,0.93,0.46,0.48,0.63,0.42,0.57,0.46,0.54,0.43,0.83,0.59,0.46,0.39,0.44,0.28,0.40,0.28,0.75,0.79,0.67,0.66,0.46,0.11,0.62,0.53,0.34
