Table 1
,,,,,,,
,Rank,Country,Risk Score,"Domain 1: Interactions
with Government",Domain 2 : Anti-bribery Deterrence and Enforcement,"Domain 3 : Governmental
and Civil Service Transparency","Domain 4 : Capacity for
Civil Society Oversight"
,1,New Zealand,4,1,11,1,8
,2,Norway,7,13,8,1,1
,3,Denmark,7,9,1,16,1
,4,Sweden,8,13,11,1,6
,5,Finland,9,15,9,5,4
,6,United Kingdom,11,15,14,4,10
,7,Netherlands,12,17,8,5,10
,8,Canada,14,22,13,6,7
,9,Germany,15,21,13,11,8
,10,Hong Kong,16,6,14,11,38
,11,Iceland,17,22,10,13,17
,12,Singapore,17,7,6,12,47
,13,Luxembourg,17,25,5,10,19
,14,Estonia,18,23,16,16,11
,15,United States,18,26,22,7,11
,16,Austria,18,25,11,12,14
,17,Australia,18,25,17,10,14
,18,Switzerland,18,23,11,24,8
,19,France,21,30,22,8,19
,20,Belgium,22,35,15,15,12
,21,Ireland,22,24,21,25,17
,22,Portugal,24,33,19,22,13
,23,South Korea,24,25,27,20,24
,24,Lithuania,25,35,26,21,9
,25,Japan,25,27,24,30,18
,26,Taiwan,26,29,25,34,12
,27,Georgia,26,16,37,31,31
,28,Israel,27,45,23,10,16
,29,United Arab Emirates,31,7,20,46,64
,30,Monaco,31,54,23,14,11
,31,Chile,31,42,27,22,25
,32,Slovenia,32,47,30,23,17
,33,Andorra,33,44,32,29,20
,34,Czech Republic,34,47,24,32,19
,35,Italy,34,48,37,19,22
,36,Uruguay,34,53,24,28,14
,37,Costa Rica,34,52,25,32,12
,38,Liechtenstein,35,69,16,12,11
,39,Cyprus,36,51,30,31,19
,40,Poland,37,48,35,32,26
,41,Spain,38,45,37,35,29
,42,Latvia,38,48,23,53,16
,43,San Marino,38,57,20,34,22
,44,Malta,39,52,33,36,22
,45,Kosovo,40,45,31,41,34
,46,Slovak Republic,40,58,34,32,18
,47,Tuvalu,40,37,46,69,11
,48,Oman,40,37,34,30,58
,49,St. Vincent and the Grenadines,41,43,39,45,35
,50,Jamaica,41,56,45,30,22
,51,Puerto Rico,41,54,41,49,11
,52,Bhutan,41,47,10,48,44
,53,Marshall Islands,42,36,33,72,28
,54,Dominica,42,47,40,38,39
,55,South Africa,42,65,33,24,27
